date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:32:02	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:02:02%20GMT	http://dadus.co.in/cdn/shop/t/16/assets/component-cart-drawer.css?v=112801333748515159671744111320	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/component-cart-drawer97c9.css	(from https://dadus.co.in/)
01:32:02	6286/6286	---MCZ	200	added ('OK')	text/css	date:Tue,%2009%20Jun%202026%2007:21:16%20GMT	https://dadus.co.in/cdn/shop/t/16/assets/component-cart-drawer.css?v=112801333748515159671744111320	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/component-cart-drawer97c9.css	(from https://dadus.co.in/)
01:32:02	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:02:03%20GMT	http://dadus.co.in/cdn/shop/t/16/assets/component-cart.css?v=164708765130180853531744111320	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/component-cart5aac.css	(from https://dadus.co.in/)
01:32:02	2767/2767	---MCZ	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202026%2004:15:48%20GMT	https://dadus.co.in/cdn/shop/t/16/assets/component-cart.css?v=164708765130180853531744111320	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/component-cart5aac.css	(from https://dadus.co.in/)
01:32:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:02:03%20GMT	http://dadus.co.in/cdn/shop/t/16/assets/component-totals.css?v=15906652033866631521744111321	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/component-totalsab32.css	(from https://dadus.co.in/)
01:32:03	493/493	---MCZ	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202026%2012:55:21%20GMT	https://dadus.co.in/cdn/shop/t/16/assets/component-totals.css?v=15906652033866631521744111321	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/component-totalsab32.css	(from https://dadus.co.in/)
01:32:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:02:04%20GMT	http://dadus.co.in/cdn/shop/t/16/assets/component-price.css?v=110861100507073543381746995860	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/component-price56e6.css	(from https://dadus.co.in/)
01:32:03	1648/1648	---MCZ	200	added ('OK')	text/css	date:Sat,%2016%20May%202026%2023:07:53%20GMT	https://dadus.co.in/cdn/shop/t/16/assets/component-price.css?v=110861100507073543381746995860	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/component-price56e6.css	(from https://dadus.co.in/)
01:32:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:02:04%20GMT	http://dadus.co.in/cdn/shop/t/16/assets/component-discounts.css?v=152760482443307489271744111320	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/component-discounts85fe.css	(from https://dadus.co.in/)
01:32:04	562/562	---MCZ	200	added ('OK')	text/css	date:Tue,%2009%20Jun%202026%2015:41:17%20GMT	https://dadus.co.in/cdn/shop/t/16/assets/component-discounts.css?v=152760482443307489271744111320	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/component-discounts85fe.css	(from https://dadus.co.in/)
01:32:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Jun%202026%2020:02:05%20GMT	http://dadus.co.in/cdn/shop/t/16/assets/component-predictive-search.css?v=118923337488134913561744111320	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/component-predictive-search6642.css	(from https://dadus.co.in/)
01:32:04	4976/4976	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Jun%202026%2004:13:07%20GMT	https://dadus.co.in/cdn/shop/t/16/assets/component-predictive-search.css?v=118923337488134913561744111320	D:/react_projects/dadus-clone/dadus.co.in/cdn/shop/t/16/assets/component-predictive-search6642.css	(from https://dadus.co.in/)
01:32:04	26407/26407	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2012%20Jun%202026%2010:35:02%20GMT	https://cdn.shopify.com/extensions/019ebb66-1f7b-75b0-8767-602bbfa363a5/powerful-form-builder-318/assets/globo.formbuilder.index.js	D:/react_projects/dadus-clone/cdn.shopify.com/extensions/019ebb66-1f7b-75b0-8767-602bbfa363a5/powerful-form-builder-318/assets/globo.formbuilder.index.js	(from https://dadus.co.in/)
01:32:05	4097/4097	---MCZ	200	added ('OK')	text/javascript	etag:%2266492034%22	https://adsagentclientafd-b7hqhjdrf3fpeqh2.b01.azurefd.net/frontendInjection.js	D:/react_projects/dadus-clone/adsagentclientafd-b7hqhjdrf3fpeqh2.b01.azurefd.net/frontendInjection.js	(from https://dadus.co.in/)
01:32:05	197047/197047	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202026%2020:02:06%20GMT	https://dadus.co.in/POST	D:/react_projects/dadus-clone/dadus.co.in/POST	(from https://dadus.co.in/)
01:32:06	40469/40469	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2012%20Jun%202026%2020:02:06%20GMT	https://dadus.co.in/cdn	D:/react_projects/dadus-clone/dadus.co.in/cdn	(from https://dadus.co.in/)
